"var","year","mean","lci","uci","prov","zone","Description_En","Description_Fr"
"ACTIOT",2016,16226,15580,16896,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",2017,15630,14999,16275,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",2018,14997,14349,15656,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIOT",2019,14684,13999,15406,"Canada",NA,"Active non-waterfowl hunters","Chasseurs d'oiseaux autres que la sauvagine actifs"
"ACTIWF",1976,390522,387362,393634,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1977,413343,410357,416286,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1978,412211,409462,414943,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1979,391713,389031,394434,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1980,389079,386289,391935,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1981,356718,353941,359370,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1982,359245,356466,361957,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1983,342949,340575,345300,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1984,322210,319880,324529,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1985,294101,292115,296137,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1986,298050,295985,300099,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1987,267594,265637,269481,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1988,242293,240409,244084,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1989,237161,235403,238926,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1990,232822,231036,234539,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1991,220023,218298,221725,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1992,206767,205240,208265,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1993,201003,199551,202403,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1994,197677,196276,199063,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1995,185768,184433,187096,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1996,180649,179424,181923,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1997,165430,164280,166529,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1998,160268,159147,161398,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",1999,155926,154890,156991,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2000,150339,149262,151419,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2001,139998,138928,141075,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2002,133660,132625,134759,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2003,131975,130920,133072,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2004,130231,129116,131331,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2005,125588,124499,126617,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2006,124036,122953,125152,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2007,125203,124045,126302,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2008,126289,125133,127453,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2009,122642,121390,123827,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2010,122669,121459,123914,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2011,124801,123544,126018,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2012,127863,126534,129154,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2013,134164,132757,135525,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2014,134398,132987,135792,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2015,132519,131147,133974,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2016,126899,125542,128263,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2017,119612,118305,120937,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2018,115793,114503,117074,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"ACTIWF",2019,112648,111277,114038,"Canada",NA,"Active waterfowl hunters","Chasseurs de sauvagine actifs"
"COOTK",1976,45151,38577,52712,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1977,45120,38744,52652,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1978,46968,40578,54176,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1979,43711,37412,50677,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1980,43283,37299,50355,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1981,38725,33193,45223,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1982,37455,31924,43663,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1983,37537,32115,43733,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1984,34729,29783,40467,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1985,28825,24773,33573,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1986,27905,23876,32577,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1987,25146,21192,29480,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1988,22193,18700,26571,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1989,21016,17735,24709,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1990,19503,16390,23569,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1991,17215,14566,20365,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1992,14719,12352,17583,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1993,12375,10421,14580,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1994,11494,9673,13534,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1995,10490,8929,12412,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1996,10099,8555,12032,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1997,8394,7027,10123,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1998,7455,6334,8836,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",1999,6547,5494,7889,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2000,5710,4778,6962,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2001,4588,3838,5527,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2002,4055,3323,4886,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2003,3772,3115,4591,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2004,3692,2998,4558,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2005,3592,2933,4465,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2006,3606,2879,4641,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2007,3453,2814,4287,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2008,3132,2522,3904,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2009,2814,2249,3490,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2010,2674,2111,3339,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2011,2777,2182,3530,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2012,2828,2201,3638,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2013,2951,2295,3764,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2014,3006,2328,3914,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2015,3134,2430,4076,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2016,3214,2445,4279,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2017,3133,2361,4178,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2018,3007,2233,4108,"Canada",NA,"Coot harvest","Prises de foulques"
"COOTK",2019,2950,2116,4143,"Canada",NA,"Coot harvest","Prises de foulques"
"CRANK",1976,2794,1980,3914,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1977,1035,686,1521,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1978,1181,773,1735,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1979,1673,1163,2332,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1980,7889,5971,10357,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1981,6170,4531,8255,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1982,4760,3550,6334,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1983,5959,4248,8143,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1984,6192,4470,8476,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1985,8072,5870,10856,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1986,9909,7141,13572,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1987,7694,5715,10232,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1988,7378,5779,9301,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1989,6910,5201,9077,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1990,7182,5505,9335,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1991,6675,5034,8821,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1992,6561,5094,8278,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1993,4867,3643,6403,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1994,5903,4526,7644,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1995,8259,6382,10712,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1996,7301,5479,9573,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1997,8701,6940,10836,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1998,10349,8504,12515,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",1999,9004,7282,11057,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2000,10512,8661,12727,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2001,10277,8451,12464,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2002,9098,7481,10990,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2003,10524,8688,12799,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2004,12030,9930,14571,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2005,12738,10410,15656,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2006,12413,10049,15463,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2007,12341,10128,15073,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2008,12026,9856,14697,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2009,7646,5754,10117,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2010,11271,8723,14462,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2011,13711,11066,17185,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2012,12212,9307,15835,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2013,13671,10960,17234,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2014,16296,13190,19985,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2015,15216,12103,19301,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2016,15148,11827,19304,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2017,15932,12871,19736,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2018,14524,11394,18432,"Canada",NA,"Crane harvest","Prises de grues"
"CRANK",2019,16147,12427,21474,"Canada",NA,"Crane harvest","Prises de grues"
"DAYOT",1976,376776,359132,396137,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1977,401618,382509,421655,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1978,409016,390783,428456,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1979,359951,342787,376701,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1980,361632,345192,378782,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1981,344496,328231,361279,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1982,334533,319049,350693,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1983,322117,307769,337427,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1984,302753,289866,316280,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1985,272567,260261,285239,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1986,280682,268306,293973,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1987,259428,247221,273156,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1988,223735,213679,234245,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1989,221422,211115,232045,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1990,216215,206679,226246,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1991,207358,197838,216878,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1992,197344,188603,206789,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1993,182895,174533,191970,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1994,170572,162536,178560,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1995,153571,146406,161410,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1996,143261,136593,150494,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1997,118499,112723,124472,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1998,116780,111111,122477,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",1999,109966,105089,115460,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2000,103610,98509,108941,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2001,92486,88017,97359,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2002,91097,86611,96074,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2003,85205,81187,89626,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2004,80894,77072,84955,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2005,77137,73456,80984,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2006,76423,72718,80455,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2007,74670,70783,78677,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2008,73461,69714,77597,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2009,69859,66043,73773,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2010,66021,62318,69879,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2011,70293,66661,74186,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2012,73124,69267,77211,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2013,79862,75445,84528,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2014,78413,74049,83038,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2015,77390,73043,82126,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2016,73352,69326,77765,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2017,70382,66434,74604,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2018,66252,62499,70415,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYOT",2019,64185,59855,68625,"Canada",NA,"Non-waterfowl hunting days","Jours de chasse d'oiseaux autres que la sauvagine"
"DAYWF",1976,2972942,2921075,3026270,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1977,3095673,3047366,3144598,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1978,3128491,3083154,3175005,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1979,2955426,2910708,3002641,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1980,2935491,2891797,2981265,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1981,2720201,2675998,2764890,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1982,2766219,2721428,2811930,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1983,2684103,2641133,2725234,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1984,2546765,2506389,2587999,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1985,2328289,2293027,2364972,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1986,2353170,2317244,2390300,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1987,2140873,2106345,2176236,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1988,1949394,1917789,1981072,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1989,1880229,1848166,1910813,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1990,1859872,1829352,1891857,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1991,1700103,1671337,1728193,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1992,1595228,1569344,1622176,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1993,1564050,1538990,1590140,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1994,1529737,1504485,1554990,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1995,1395946,1374093,1418574,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1996,1347370,1327277,1368245,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1997,1231575,1213114,1250577,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1998,1179950,1161874,1198632,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",1999,1140339,1123078,1158487,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
"DAYWF",2000,1085161,1068018,1101771,"Canada",NA,"Waterfowl hunting days","Jours de chasse de sauvagine"
