"pr","zo","period","startweek","endweek"
"NF",1,1,1,8
"NF",1,2,9,9
"NF",1,3,10,10
"NF",1,4,11,11
"NF",1,5,12,17
"NF",1,6,18,23
"NF",1,7,24,28
"NF",2,1,1,9
"NF",2,2,9,NA
"NF",2,3,10,NA
"NF",2,4,11,NA
"NF",2,5,12,NA
"NF",2,6,18,NA
